spatial_dimension,total_dimension,num_sources,alpha_0,alpha_1,gamma,M,T,grid_sizes,time_window_size,variant,has_commits,agent_commit_count,commit_rate,first_commit_time,last_commit_time,final_psi,max_salience,source_emission_counts
2,2,1,1.6,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,47273,94.546,8.523809523809497,499.99999999944464,348.0006355406746,348.0006355406746,[52500]
2,2,1,1.6,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,15773,78.865,8.523809523809497,200.00000000006196,17.520260571676587,17.520260571676587,[21000]
2,2,1,1.6,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,47273,94.546,8.523809523809497,499.99999999944464,348.0006355406746,348.0006355406746,[52500]
2,2,2,1.6,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,18040,90.2,6.2190476190476,200.00000000006196,70.09630456349205,70.09630456349205,"[21000, 21000]"
2,2,2,1.6,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,49540,99.08,6.2190476190476,499.99999999944464,1389.8281994047618,1389.8281994047618,"[52500, 52500]"
2,2,2,1.6,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,18040,90.2,6.2190476190476,200.00000000006196,70.0477058531746,70.0477058531746,"[21000, 21000]"
2,2,2,1.6,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,49540,99.08,6.2190476190476,499.99999999944464,1286.6801339285714,1286.6801339285714,"[52500, 52500]"
2,2,4,1.6,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,19261,96.305,4.580952380952367,200.00000000006196,280.38795572916666,280.38795572916666,"[21000, 21000, 21000, 21000]"
2,2,4,1.6,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,50761,101.522,4.580952380952367,499.99999999944464,5573.574305555556,5573.574305555556,"[52500, 52500, 52500, 52500]"
2,2,4,1.6,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,19261,96.305,4.580952380952367,200.00000000006196,280.2768074156746,280.2768074156746,"[21000, 21000, 21000, 21000]"
2,2,4,1.6,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,50761,101.522,4.580952380952367,499.99999999944464,5557.820535714285,5557.820535714285,"[52500, 52500, 52500, 52500]"
2,2,1,1.6,1.0,0.3,1,200,"(64, 64)",10,B_rendering,True,13643,68.215,9.276190476190447,200.00000000006196,6.545048595610119,6.545048595610119,[21000]
2,2,1,1.6,1.0,0.3,1,500,"(64, 64)",10,B_rendering,True,45143,90.286,9.276190476190447,499.99999999944464,86.20417829241072,86.20417829241072,[52500]
