spatial_dimension,total_dimension,num_sources,alpha_0,alpha_1,gamma,M,T,grid_sizes,time_window_size,variant,has_commits,agent_commit_count,commit_rate,first_commit_time,last_commit_time,final_psi,max_salience,source_emission_counts
3,4,4,1.2,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,47867,95.734,5.959999999999917,499.99999999969026,89.6121712820101,89.62780961776278,"[50000, 50000, 50000, 50000]"
3,4,1,1.2,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,9516,47.58,12.209999999999784,199.99999999996308,2.1807610283562524,2.1807610283562524,[20000]
3,4,1,1.2,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,39516,79.032,12.209999999999784,499.99999999969026,14.02763555610128,14.02763555610128,[50000]
3,4,1,1.2,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,9516,47.58,12.209999999999784,199.99999999996308,2.1807610283562524,2.1807610283562524,[20000]
3,4,1,1.2,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,39516,79.032,12.209999999999784,499.99999999969026,14.02763555610128,14.02763555610128,[50000]
3,4,2,1.2,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,14511,72.555,8.749999999999858,199.99999999996308,8.721202759603745,8.721202759603745,"[20000, 20000]"
3,4,2,1.2,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,44511,89.022,8.749999999999858,499.99999999969026,56.082461175414664,56.082461175414664,"[50000, 50000]"
3,4,2,1.2,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,14510,72.55,8.749999999999858,199.99999999996308,8.722183918939162,8.722183918939162,"[20000, 20000]"
3,4,2,1.2,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,44510,89.02,8.749999999999858,499.99999999969026,56.14869615082484,56.14869615082484,"[50000, 50000]"
3,4,4,1.2,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,17013,85.065,6.359999999999909,199.99999999996308,34.88839589893474,34.88839589893474,"[20000, 20000, 20000, 20000]"
3,4,4,1.2,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,47013,94.026,6.359999999999909,499.99999999969026,224.4342723122404,224.4342723122404,"[50000, 50000, 50000, 50000]"
3,4,4,1.2,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,17013,85.065,6.359999999999909,199.99999999996308,34.89175280791576,34.89175280791576,"[20000, 20000, 20000, 20000]"
3,4,4,1.2,1.0,0.2,1,500,"(48, 48, 48)",10,A_physics,True,47013,94.026,6.359999999999909,499.99999999969026,224.22808369398302,224.22808369398302,"[50000, 50000, 50000, 50000]"
3,4,1,1.2,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,4810,24.05,13.679999999999753,199.99999999996308,1.971283107028216,0.985691619521292,[20000]
3,4,1,1.2,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,34689,69.378,13.679999999999753,499.99999999969026,6.286894299139493,6.286894299139493,[50000]
3,4,1,1.2,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,4810,24.05,13.679999999999753,199.99999999996308,1.971283107028216,0.985691619521292,[20000]
3,4,1,1.2,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,34689,69.378,13.679999999999753,499.99999999969026,6.286894299139493,6.286894299139493,[50000]
3,4,2,1.2,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,12178,60.89,9.54999999999984,199.99999999996308,3.9419439171080772,3.9419439171080772,"[20000, 20000]"
3,4,2,1.2,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,42178,84.356,9.54999999999984,499.99999999969026,25.151622261127663,25.151622261127663,"[50000, 50000]"
3,4,2,1.2,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,12180,60.9,9.54999999999984,199.99999999996308,3.9484340845037886,3.9484340845037886,"[20000, 20000]"
3,4,2,1.2,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,42180,84.36,9.54999999999984,499.99999999969026,25.15177064467647,25.15177064467647,"[50000, 50000]"
3,4,4,1.2,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,15924,79.62,6.7899999999999,199.99999999996308,15.763351043045738,15.763351043045738,"[20000, 20000, 20000, 20000]"
3,4,4,1.2,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,45924,91.848,6.7899999999999,499.99999999969026,100.56155248457004,100.56155248457004,"[50000, 50000, 50000, 50000]"
3,4,4,1.2,1.0,0.3,1,200,"(48, 48, 48)",10,A_physics,True,15924,79.62,6.7899999999999,199.99999999996308,15.77351531613912,15.77351531613912,"[20000, 20000, 20000, 20000]"
3,4,4,1.2,1.0,0.3,1,500,"(48, 48, 48)",10,A_physics,True,45924,91.848,6.7899999999999,499.99999999969026,100.56347932021833,100.56347932021833,"[50000, 50000, 50000, 50000]"
3,4,1,1.6,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,14881,74.405,9.59999999999984,199.99999999996308,5.615392613329878,5.615392613329878,[20000]
3,4,1,1.6,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,44881,89.762,9.59999999999984,499.99999999969026,10.065074390032125,10.065720611139616,[50000]
3,4,1,1.6,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,14881,74.405,9.59999999999984,199.99999999996308,5.615392613329878,5.615392613329878,[20000]
3,4,1,1.6,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,44881,89.762,9.59999999999984,499.99999999969026,10.065074390032125,10.065720611139616,[50000]
3,4,2,1.6,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,17138,85.69,7.089999999999893,199.99999999996308,22.461299492056472,22.461299492056472,"[20000, 20000]"
3,4,2,1.6,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,47138,94.276,7.089999999999893,499.99999999969026,40.511211990677474,40.51718174040925,"[50000, 50000]"
