tick,planet_dist,velocity,star_radius,total_length,px,py,pz,planet_radius,max_core_length
1100,6.5577,0.001013,5.0652,967419.19,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1150,6.6360,0.001038,4.9827,978489.54,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1200,6.5797,0.001061,5.0156,990298.41,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1250,6.6535,0.001084,4.9862,1002859.00,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1300,6.4324,0.001105,4.9687,1016283.01,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1350,6.5475,0.001125,4.9090,1030690.94,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1400,6.5490,0.001144,4.9371,1041541.35,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1450,6.5245,0.001162,5.1735,1052919.42,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1500,6.1873,0.001180,5.2590,1063053.58,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1550,6.1870,0.001196,5.2708,1073025.71,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1600,6.1718,0.001212,5.2654,1083638.27,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1650,5.9972,0.001227,5.3396,1094485.91,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1700,5.9973,0.001241,5.3512,1105043.29,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1750,5.9812,0.001255,5.3460,1116112.14,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1800,5.9972,0.001268,5.3396,1127718.83,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1850,5.9973,0.001280,5.3512,1139889.94,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1900,5.9812,0.001291,5.3460,1152659.73,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1950,5.9972,0.001303,5.3396,1166060.32,-5.2715,-2.0091,6.5560,1.8961,55069.2524
2000,5.9973,0.001313,5.3512,1180124.40,-5.2715,-2.0091,6.5560,1.8961,55069.2524
2050,5.9812,0.001323,5.3460,1194893.65,-5.2715,-2.0091,6.5560,1.8961,55069.2524
2100,6.0178,0.001333,5.4104,1210411.71,-5.2715,-2.0091,6.5560,1.8961,55069.2524
2150,6.0034,0.001342,5.3759,1226686.86,-5.2715,-2.0091,6.5560,1.8961,55069.2524
2200,6.0016,0.001350,5.4174,1243740.76,-5.2715,-2.0091,6.5560,1.8961,55069.2524
2250,6.0550,0.001359,5.3150,1261547.77,-5.2715,-2.0091,6.5560,1.8961,55069.2524
2300,6.0178,0.001366,5.4104,1280257.42,-5.2715,-2.0091,6.5560,1.8961,55069.2524
2350,5.9874,0.001374,5.3709,1299878.74,-5.2715,-2.0091,6.5560,1.8961,55069.2524
2400,6.2947,0.001381,5.2572,1319400.30,-5.2715,-2.0091,6.5560,1.8961,55069.2524
2450,6.2811,0.001388,5.2108,1339485.37,-5.2715,-2.0091,6.5560,1.8961,55069.2524
2500,6.3452,0.001394,5.2572,1360559.87,-5.2797,-1.8830,6.6596,2.0467,55069.2524
2550,6.3301,0.001400,5.2108,1382674.84,-5.2797,-1.8830,6.6596,2.0467,55069.2524
2600,6.3452,0.001406,5.2572,1405888.45,-5.2797,-1.8830,6.6596,2.0467,55069.2524
2650,6.3301,0.001411,5.2108,1430259.12,-5.2797,-1.8830,6.6596,2.0467,55069.2524
2700,6.3452,0.001416,5.2572,1455853.84,-5.2797,-1.8830,6.6596,2.0467,55069.2524
2750,6.3301,0.001421,5.2108,1482740.38,-5.2797,-1.8830,6.6596,2.0467,55069.2524
2800,6.3452,0.001426,5.2572,1510996.96,-5.2797,-1.8830,6.6596,2.0467,55069.2524
2850,6.3557,0.001431,5.1805,1540698.69,-5.2797,-1.8830,6.6596,2.0467,55069.2524
2900,6.3726,0.001435,5.2551,1571871.25,-5.2797,-1.8830,6.6596,2.0467,55069.2524
2950,6.3577,0.001439,5.2083,1604608.44,-5.2797,-1.8830,6.6596,2.0467,55069.2524
3000,6.3946,0.001443,5.3788,1637076.36,-5.2797,-1.8830,6.6596,2.0467,55069.2524
3050,6.3946,0.001447,5.3788,1671088.98,-5.2797,-1.8830,6.6596,2.0467,55069.2524
3100,6.3946,0.001450,5.3788,1706937.41,-5.2797,-1.8830,6.6596,2.0467,55069.2524
3150,6.5657,0.001453,5.6728,1743706.65,-5.2797,-1.8830,6.6596,2.0467,55069.2524
3200,6.5657,0.001457,5.6728,1782119.19,-5.2797,-1.8830,6.6596,2.0467,55069.2524
3250,6.5657,0.001460,5.6728,1822469.46,-5.2797,-1.8830,6.6596,2.0467,55069.2524
3300,6.5657,0.001462,5.6728,1864878.99,-5.2797,-1.8830,6.6596,2.0467,55069.2524
3350,6.5657,0.001465,5.6728,1909477.26,-5.2797,-1.8830,6.6596,2.0467,55069.2524
3400,6.5311,0.001468,5.6497,1956413.60,-5.2648,-1.6392,6.6264,2.0446,55069.2524
3450,6.4817,0.001421,5.6728,2005739.56,-5.2648,-1.6392,6.6264,2.0446,55069.2524
3500,6.5311,0.001377,5.6497,2057541.58,-5.2648,-1.6392,6.6264,2.0446,55069.2524
3550,6.5311,0.001337,5.6497,2111955.85,-5.2648,-1.6392,6.6264,2.0446,55069.2524
3600,6.4817,0.001299,5.6728,2169118.40,-5.2648,-1.6392,6.6264,2.0446,55069.2524
3650,6.4817,0.001264,5.6728,2229181.50,-5.2648,-1.6392,6.6264,2.0446,55069.2524
3700,6.5437,0.001233,5.7119,2291231.65,-5.2648,-1.6392,6.6264,2.0446,55069.2524
3750,6.5437,0.001203,5.7119,2354870.97,-5.2648,-1.6392,6.6264,2.0446,55069.2524
3800,6.5437,0.001176,5.7119,2421601.14,-5.2648,-1.6392,6.6264,2.0446,55069.2524
3850,6.5437,0.001152,5.7119,2491577.52,-5.2648,-1.6392,6.6264,2.0446,55069.2524
3900,6.5514,0.001129,5.7268,2564927.26,-5.2648,-1.6392,6.6264,2.0446,55069.2524
3950,6.5437,0.001108,5.7119,2641791.40,-5.2648,-1.6392,6.6264,2.0446,55069.2524
4000,6.5514,0.001089,5.7268,2722368.10,-5.2648,-1.6392,6.6264,2.0446,55069.2524
4050,6.5437,0.001072,5.7119,2806838.01,-5.2648,-1.6392,6.6264,2.0446,55069.2524
4100,6.5643,0.001057,5.7445,2895433.90,-5.2648,-1.6392,6.6264,2.0446,55069.2524
4150,6.5557,0.001043,5.6843,2988311.29,-5.2648,-1.6392,6.6264,2.0446,55069.2524
4200,6.5643,0.001030,5.7445,3085646.34,-5.2648,-1.6392,6.6264,2.0446,55069.2524
4250,6.5557,0.001019,5.6843,3187653.97,-5.2648,-1.6392,6.6264,2.0446,55069.2524
4300,6.5643,0.001008,5.7445,3294745.44,-5.2648,-1.6392,6.6264,2.0446,55069.2524
4350,6.5585,0.000999,5.6455,3406917.92,-5.2648,-1.6392,6.6264,2.0446,55515.5038
4400,6.5566,0.000991,5.7296,3524387.97,-5.2648,-1.6392,6.6264,2.0446,57394.8650
4450,6.5585,0.000983,5.6455,3647435.44,-5.2648,-1.6392,6.6264,2.0446,59391.2641
4500,6.5459,0.000977,5.7738,3776202.92,-5.2648,-1.6392,6.6264,2.0446,61401.8311
4550,6.5481,0.000971,5.6908,3911088.92,-5.2648,-1.6392,6.6264,2.0446,63537.6068
4600,6.5613,0.000946,5.7785,4052479.53,-5.1961,-1.5009,6.7536,2.2280,65688.5395
4650,6.5339,0.001006,5.6727,4200537.01,-5.1961,-1.5009,6.7536,2.2280,67973.4224
4700,6.5702,0.001156,5.7690,4355577.27,-5.1961,-1.5009,6.7536,2.2280,70274.5203
4750,6.4627,0.001355,5.6072,4517947.36,-5.1961,-1.5009,6.7536,2.2280,72718.9200
4800,6.5014,0.001577,5.6185,4687283.67,-5.1961,-1.5009,6.7536,2.2280,75180.6668
4850,6.5579,0.001806,5.3938,4864054.66,-5.1961,-1.5009,6.7536,2.2280,77795.7199
4900,6.5076,0.002036,5.3437,5047510.67,-5.1961,-1.5009,6.7536,2.2280,80429.3311
4950,6.5382,0.002261,5.1861,5237168.12,-5.1961,-1.5009,6.7536,2.2280,83226.9515
5000,6.4930,0.002479,5.2548,5434697.83,-5.1961,-1.5009,6.7536,2.2280,86044.4258
5050,6.5841,0.002690,5.3732,5641248.22,-5.1961,-1.5009,6.7536,2.2280,89037.3593
5100,6.5425,0.002894,5.0919,5857232.16,-5.1961,-1.5009,6.7536,2.2280,92051.5328
5150,6.5730,0.003088,5.1622,6083120.28,-5.1961,-1.5009,6.7536,2.2280,95253.4150
5200,6.6807,0.003275,5.0458,6319275.16,-5.1961,-1.5009,6.7536,2.2280,98478.0200
5250,6.6335,0.003453,4.9611,6566244.76,-5.1961,-1.5009,6.7536,2.2280,101903.4385
5300,6.6078,0.003623,5.0554,6824513.24,-5.1961,-1.5009,6.7536,2.2280,105353.1661
5350,6.7047,0.003786,5.2534,7094644.63,-5.1961,-1.5009,6.7536,2.2280,109017.7268
5400,6.6350,0.003941,5.0843,7377168.16,-5.1961,-1.5009,6.7536,2.2280,112708.2938
5450,6.6853,0.004088,5.1287,7672757.99,-5.1961,-1.5009,6.7536,2.2280,116628.6922
5500,6.7379,0.004229,5.0602,7982049.76,-5.1961,-1.5009,6.7536,2.2280,120576.9125
5550,6.4908,0.004381,5.0486,8305654.87,-5.0762,-1.4037,6.8878,2.1474,124771.0097
5600,6.7506,0.004530,4.9088,8644221.26,-5.0762,-1.4037,6.8878,2.1474,128994.8710
