tick,planet_dist,velocity,star_radius,total_length,px,py,pz,planet_density
5200,16.6131,0.048445,7.3269,1933411836778093988955553792.00,4.9954,0.4384,17.1597,6.5253
5250,16.4700,0.000000,6.7248,2608661049688192973371604992.00,4.9954,0.4384,17.1597,48.5522
5300,16.5803,0.000000,7.1958,3519742853522052415248924672.00,4.9954,0.4384,17.1597,41.7121
5350,16.1861,0.000000,6.7378,4749022414816852762616135680.00,4.9954,0.4384,17.1597,25.9162
5400,16.4320,0.000000,7.1426,6407631154137652246555394048.00,4.9954,0.4384,17.1597,14.1883
5450,16.6760,0.000000,6.8958,8645513443194705901294452736.00,4.9954,0.4384,17.1597,7.2572
5500,16.3717,0.000000,6.7721,11664982126428659554893955072.00,4.9954,0.4384,17.1597,15.8508
5550,16.1928,0.000000,6.8019,15739008359843033326146289664.00,4.9954,0.4384,17.1597,40.2922
5600,16.3586,0.000000,7.3394,21235899207259317330746802176.00,4.9954,0.4384,17.1597,30.1802
5650,16.3389,0.000000,6.6399,28652593976851597979543404544.00,4.9954,0.4384,17.1597,17.8955
5700,16.2039,0.000000,6.8965,38659589364725210987022516224.00,4.9954,0.4384,17.1597,9.5690
5750,16.3048,0.000000,6.8824,52161554862603626442831953920.00,4.9954,0.4384,17.1597,5.2905
5800,14.5674,0.082213,6.9936,70379118215979129900734873600.00,2.3199,3.0687,15.4802,36.2366
5850,14.2464,0.000000,6.4550,94959214731636279740876193792.00,2.3199,3.0687,15.4802,36.5319
5900,14.5440,0.000000,7.1116,128123976309587774889479110656.00,2.3199,3.0687,15.4802,23.7395
5950,14.7678,0.000000,6.9339,172871620461608265061339496448.00,2.3199,3.0687,15.4802,13.2746
6000,14.6849,0.000000,7.0867,233247500254004506432616005632.00,2.3199,3.0687,15.4802,6.8739
6050,14.2315,0.045163,6.9216,314709819316819955722743709696.00,1.7316,5.1314,14.7745,41.6242
6100,14.2346,0.000000,6.7502,424623073639333562113719271424.00,1.7316,5.1314,14.7745,46.6392
6150,13.8306,0.000000,6.5729,572923829468946777326007353344.00,1.7316,5.1314,14.7745,31.0763
6200,13.8300,0.000000,6.8307,773019025677189838413945110528.00,1.7316,5.1314,14.7745,17.5732
6250,14.0435,0.000000,6.6617,1042998011005987019163789426688.00,1.7316,5.1314,14.7745,9.1580
6300,13.9861,0.000000,6.8884,1407267888187848429155991420928.00,1.7316,5.1314,14.7745,32.2581
6350,14.3821,0.000000,6.5248,1898760006973914054267926216704.00,1.7316,5.1314,14.7745,36.4167
6400,14.0927,0.000000,6.9902,2561907080177917732382719344640.00,1.7316,5.1314,14.7745,24.3051
6450,14.0198,0.000000,6.4536,3456660066419962257471950553088.00,1.7316,5.1314,14.7745,13.7542
6500,14.1516,0.000000,6.6537,4663907959034979498385408524288.00,1.7316,5.1314,14.7745,9.4352
6550,14.5775,0.052867,6.5157,6292790452289806900307666403328.00,1.8372,2.7191,15.8500,45.7385
6600,14.8040,0.000000,6.4847,8490564574505848812552169979904.00,1.8372,2.7191,15.8500,39.3716
6650,14.3294,0.000000,6.6503,11455917271658740065068667371520.00,1.8372,2.7191,15.8500,24.4768
6700,14.5361,0.000000,6.6733,15456927444405823917840285040640.00,1.8372,2.7191,15.8500,13.4043
6750,14.5525,0.000000,6.8508,20855301278569067941791503745024.00,1.8372,2.7191,15.8500,6.8573
6800,14.5533,0.014027,7.1380,28139071826624949552600041127936.00,2.3199,3.0687,15.4802,23.3173
6850,14.3510,0.000000,7.1327,37966719011933117044836001644544.00,2.3199,3.0687,15.4802,30.8716
6900,14.4983,0.000000,7.3341,51226698658043164748503576477696.00,2.3199,3.0687,15.4802,21.2720
6950,14.3235,0.000000,7.4547,69117762201174904566283107303424.00,2.3199,3.0687,15.4802,12.2036
7000,14.4828,0.000000,7.7720,93257328270706833484957500833792.00,2.3199,3.0687,15.4802,6.9899
7050,14.1215,0.045163,7.5197,125827703351087022929172680933376.00,1.7316,5.1314,14.7745,7.2020
7100,14.4597,0.045163,7.3624,169773370391880457984225872707584.00,2.3199,3.0687,15.4802,5.8268
7150,13.9366,0.045163,7.4121,229067181020551194755801095864320.00,1.7316,5.1314,14.7745,5.8303
7200,16.9725,0.123881,7.5663,309069516084883257270629618941952.00,4.9954,0.4384,17.1597,7.5620
