num_sources,geometry,alpha_0,T,gamma,M,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
4,asymmetric,1.0,100.0,0.001,1,True,4,0.04,74.0950000000051,0.21941441119622546,0.21941441119622546
4,asymmetric,1.2,100.0,0.001,1,True,5,0.05,69.09500000000965,0.9109256494994127,0.31595675212254243
4,asymmetric,1.4,100.0,0.001,1,True,7,0.07,64.0950000000142,0.8431760999116684,0.4300522459450477
4,asymmetric,1.6,100.0,0.001,1,True,10,0.1,61.0950000000128,0.0,0.5617008926635205
4,asymmetric,1.8,100.0,0.001,1,True,12,0.12,58.09500000001127,0.0,0.7109026922751147
4,asymmetric,2.0,100.0,0.001,1,True,14,0.14,56.095000000010245,0.0,0.8776576447849018
4,asymmetric,1.0,200.0,0.001,1,True,76,0.38,74.0950000000051,0.0,3.390740734204635
4,asymmetric,1.2,200.0,0.001,1,True,87,0.435,69.09500000000965,0.0,4.882666657226609
4,asymmetric,1.4,200.0,0.001,1,True,95,0.475,64.0950000000142,0.0,6.64585183909209
4,asymmetric,1.6,200.0,0.001,1,True,102,0.51,61.0950000000128,0.0,8.680296279570223
4,asymmetric,1.8,200.0,0.001,1,True,107,0.535,58.09500000001127,0.0,10.985999978736555
4,asymmetric,2.0,200.0,0.001,1,True,112,0.56,56.095000000010245,0.0,13.56296293681854
4,asymmetric,1.0,500.0,0.001,1,True,376,0.752,74.0950000000051,0.0,111.67749132683039
4,asymmetric,1.2,500.0,0.001,1,True,387,0.774,69.09500000000965,0.0,160.8155875042417
4,asymmetric,1.4,500.0,0.001,1,True,395,0.79,64.0950000000142,0.0,218.88788299984336
4,asymmetric,1.6,500.0,0.001,1,True,402,0.804,61.0950000000128,0.0,285.894377788462
4,asymmetric,1.8,500.0,0.001,1,True,407,0.814,58.09500000001127,0.0,361.8350718835006
4,asymmetric,2.0,500.0,0.001,1,True,412,0.824,56.095000000010245,0.0,446.70996530732157
8,symmetric,1.0,100.0,0.001,1,True,14,0.14,56.095000000010245,0.0,0.8776535552916344
8,symmetric,1.2,100.0,0.001,1,True,20,0.2,52.0950000000082,0.0,1.2638211196191447
8,symmetric,1.4,100.0,0.001,1,True,26,0.26,49.095000000006664,0.0,1.7202009683739852
8,symmetric,1.6,100.0,0.001,1,True,31,0.31,46.09500000000513,0.0,2.2467931015565505
8,symmetric,1.8,100.0,0.001,1,True,34,0.34,44.095000000004106,0.0,2.8435975191496334
8,symmetric,2.0,100.0,0.001,1,True,38,0.38,42.09500000000308,0.0,3.5106142211665374
8,symmetric,1.0,200.0,0.001,1,True,112,0.56,56.095000000010245,0.0,13.562962796701393
8,symmetric,1.2,200.0,0.001,1,True,120,0.6,52.0950000000082,0.0,19.53066642719672
8,symmetric,1.4,200.0,0.001,1,True,126,0.63,49.095000000006664,0.0,26.58340708139842
8,symmetric,1.6,200.0,0.001,1,True,131,0.655,46.09500000000513,0.0,34.72118475999222
8,symmetric,1.8,200.0,0.001,1,True,134,0.67,44.095000000004106,0.0,43.94399946071235
8,symmetric,2.0,200.0,0.001,1,True,138,0.69,42.09500000000308,0.0,54.251851186805574
8,symmetric,1.0,500.0,0.001,1,True,412,0.824,56.095000000010245,0.0,446.70996195896066
8,symmetric,1.2,500.0,0.001,1,True,420,0.84,52.0950000000082,0.0,643.2623452474546
8,symmetric,1.4,500.0,0.001,1,True,426,0.852,49.095000000006664,0.0,875.5515254459866
8,symmetric,1.6,500.0,0.001,1,True,431,0.862,46.09500000000513,0.0,1143.5775026541812
8,symmetric,1.8,500.0,0.001,1,True,434,0.868,44.095000000004106,0.0,1447.3402767242542
8,symmetric,2.0,500.0,0.001,1,True,438,0.876,42.09500000000308,0.0,1786.8398478358426
8,asymmetric,1.0,100.0,0.001,1,True,14,0.14,56.095000000010245,0.0,0.8776578536778149
8,asymmetric,1.2,100.0,0.001,1,True,20,0.2,52.0950000000082,0.0,1.263827309292325
8,asymmetric,1.4,100.0,0.001,1,True,26,0.26,49.095000000006664,0.0,1.7202093932098599
8,asymmetric,1.6,100.0,0.001,1,True,31,0.31,46.09500000000513,0.0,2.24680410541883
8,asymmetric,1.8,100.0,0.001,1,True,34,0.34,44.095000000004106,0.0,2.8436114459207897
8,asymmetric,2.0,100.0,0.001,1,True,38,0.38,42.09500000000308,0.0,3.5106314147112596
8,asymmetric,1.0,200.0,0.001,1,True,112,0.56,56.095000000010245,0.0,13.562962883224346
8,asymmetric,1.2,200.0,0.001,1,True,120,0.6,52.0950000000082,0.0,19.530666551633544
8,asymmetric,1.4,200.0,0.001,1,True,126,0.63,49.095000000006664,0.0,26.5834072508723
8,asymmetric,1.6,200.0,0.001,1,True,131,0.655,46.09500000000513,0.0,34.721184980823644
8,asymmetric,1.8,200.0,0.001,1,True,134,0.67,44.095000000004106,0.0,43.94399974160904
8,asymmetric,2.0,200.0,0.001,1,True,138,0.69,42.09500000000308,0.0,54.25185153289738
8,asymmetric,1.0,500.0,0.001,1,True,412,0.824,56.095000000010245,0.0,446.7099655046308
8,asymmetric,1.2,500.0,0.001,1,True,420,0.84,52.0950000000082,0.0,643.2623502567643
8,asymmetric,1.4,500.0,0.001,1,True,426,0.852,49.095000000006664,0.0,875.5515323406935
8,asymmetric,1.6,500.0,0.001,1,True,431,0.862,46.09500000000513,0.0,1143.5775116322268
8,asymmetric,1.8,500.0,0.001,1,True,434,0.868,44.095000000004106,0.0,1447.3402881129791
8,asymmetric,2.0,500.0,0.001,1,True,438,0.876,42.09500000000308,0.0,1786.8398620185233
