run_id,dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
354,5,2,symmetric,1,1.0,0.001,1,200.0,True,17373,86.865,8.539999999999862,1581.5858289930552,1581.5858289930552
355,5,2,symmetric,1,1.2,0.001,1,200.0,True,17602,88.01,7.939999999999875,2274.2912326388887,2274.2912326388887
356,5,2,symmetric,1,1.4,0.001,1,200.0,True,17781,88.905,7.459999999999885,3094.885416666666,3094.885416666666
357,5,2,symmetric,1,1.6,0.001,1,200.0,True,17925,89.625,7.0799999999998935,4051.238281249999,4051.238281249999
358,5,2,symmetric,1,1.8,0.001,1,200.0,True,18044,90.22,6.7499999999999005,5133.313368055555,5133.313368055555
359,5,2,symmetric,1,2.0,0.001,1,200.0,True,18145,90.725,6.4699999999999065,6326.343315972221,6326.343315972221
360,5,2,symmetric,1,2.2,0.001,1,200.0,True,18231,91.155,6.229999999999912,7646.180555555554,7646.180555555554
361,5,2,symmetric,1,2.4,0.001,1,200.0,True,18307,91.535,6.009999999999916,9097.164930555555,9097.164930555555
362,5,2,symmetric,1,2.6,0.001,1,200.0,True,18373,91.865,5.81999999999992,10644.026041666664,10644.026041666664
363,5,2,symmetric,1,0.6,0.005,1,200.0,True,16630,83.15,10.51999999999982,8741.874999999998,8741.874999999998
364,5,2,symmetric,1,0.8,0.005,1,200.0,True,17071,85.355,9.369999999999845,15650.479166666664,15650.479166666664
365,5,2,symmetric,1,1.0,0.005,1,200.0,True,17375,86.875,8.569999999999862,24418.423611111106,24418.423611111106
366,5,2,symmetric,1,1.2,0.005,1,200.0,True,17601,88.005,7.959999999999875,34967.49999999999,34967.49999999999
367,5,2,symmetric,1,1.4,0.005,1,200.0,True,17777,88.885,7.479999999999885,47705.37152777777,47705.37152777777
368,5,2,symmetric,1,1.6,0.005,1,200.0,True,17920,89.6,7.089999999999893,62601.91666666666,62601.91666666666
369,5,2,symmetric,1,1.8,0.005,1,200.0,True,18039,90.195,6.7599999999999,78789.37499999999,78789.37499999999
370,5,2,symmetric,1,2.0,0.005,1,200.0,True,18138,90.69,6.479999999999906,97673.69444444442,97673.69444444442
371,5,2,symmetric,1,2.2,0.005,1,200.0,True,18225,91.125,6.239999999999911,117707.1111111111,117707.1111111111
372,5,2,symmetric,1,2.4,0.005,1,200.0,True,18301,91.505,6.029999999999916,139869.99999999997,139869.99999999997
373,5,2,symmetric,1,2.6,0.005,1,200.0,True,18367,91.835,5.82999999999992,164632.2222222222,164632.2222222222
374,5,2,symmetric,1,0.6,0.001,1,500.0,True,46604,93.208,10.479999999999821,19632.80034722222,19632.80034722222
375,5,2,symmetric,1,0.8,0.001,1,500.0,True,47061,94.122,9.339999999999845,34864.152777777774,34864.152777777774
376,5,2,symmetric,1,1.0,0.001,1,500.0,True,47373,94.746,8.539999999999862,54787.795138888876,54787.795138888876
377,5,2,symmetric,1,1.2,0.001,1,500.0,True,47602,95.204,7.939999999999875,78531.20138888888,78531.20138888888
378,5,2,symmetric,1,1.4,0.001,1,500.0,True,47781,95.562,7.459999999999885,106425.06944444442,106425.06944444442
379,5,2,symmetric,1,1.6,0.001,1,500.0,True,47925,95.85,7.0799999999998935,139456.6111111111,139456.6111111111
380,5,2,symmetric,1,1.8,0.001,1,500.0,True,48044,96.088,6.7499999999999005,174117.87499999997,174117.87499999997
381,5,2,symmetric,1,2.0,0.001,1,500.0,True,48145,96.29,6.4699999999999065,219151.1805555555,219151.1805555555
382,5,2,symmetric,1,2.2,0.001,1,500.0,True,48231,96.462,6.229999999999912,264286.86111111107,264286.86111111107
383,5,2,symmetric,1,2.4,0.001,1,500.0,True,48307,96.614,6.009999999999916,314124.8055555555,314124.8055555555
384,5,2,symmetric,1,2.6,0.001,1,500.0,True,48373,96.746,5.81999999999992,367483.4444444444,367483.4444444444
