d,Ms,geom,phi,gamma,T,n,alpha_min,alpha_max,rate_mean,rate_std,fct_mean,sal_max
1,2,clus,1,0.005,500,11,0.6,2.6,204.15654545454544,145.7730327875246,4.372536172536615,0.34257076908062617
1,4,symm,0,0.001,100,11,0.6,2.6,24.83363636363636,20.184914799288734,3.3314769314771286,0.06817211750282882
1,4,symm,0,0.001,200,11,0.6,2.6,23.186818181818182,16.328345028313077,3.3314769314771286,0.06817211750282882
1,4,symm,0,0.001,500,11,0.6,2.6,23.676909090909092,20.279839809300988,3.3314769314771286,0.06817211750282882
1,4,symm,0,0.005,100,11,0.6,2.6,509.9563636363637,491.3463840769102,3.3057603057604967,1.2483252711829371
1,4,symm,0,0.005,200,11,0.6,2.6,539.6322727272727,533.1776962953516,3.3057603057604967,1.2483252711829371
1,4,symm,0,0.005,500,11,0.6,2.6,562.672,555.9980228072758,3.3057603057604967,1.2483252711829371
1,4,symm,1,0.001,100,11,0.6,2.6,24.83363636363636,20.184914799288734,3.3314769314771286,0.06817211750282882
1,4,symm,1,0.001,200,11,0.6,2.6,23.186818181818182,16.328345028313077,3.3314769314771286,0.06817211750282882
1,4,symm,1,0.001,500,11,0.6,2.6,23.676909090909092,20.279839809300988,3.3314769314771286,0.06817211750282882
1,4,symm,1,0.005,100,11,0.6,2.6,509.9563636363637,491.3463840769102,3.3057603057604967,1.2483252711829371
1,4,symm,1,0.005,200,11,0.6,2.6,539.6322727272727,533.1776962953516,3.3057603057604967,1.2483252711829371
1,4,symm,1,0.005,500,11,0.6,2.6,562.672,555.9980228072758,3.3057603057604967,1.2483252711829371
1,4,clus,0,0.001,100,11,0.6,2.6,25.014545454545452,20.107536081597047,3.331422331422529,0.06816982105611634
1,4,clus,0,0.001,200,11,0.6,2.6,22.751363636363635,15.290955184505167,3.331422331422529,0.06816982105611634
1,4,clus,0,0.001,500,11,0.6,2.6,25.552545454545452,18.111674027342897,3.331422331422529,0.06816982105611634
