dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
4,2,clustered,0,0.8,0.005,1,500.0,True,47007,94.014,9.539999999999841,43690666.666666664,43690666.666666664
4,2,clustered,0,1.0,0.005,1,500.0,True,47317,94.634,8.719999999999859,43690666.666666664,43690666.666666664
4,2,clustered,0,1.2,0.005,1,500.0,True,47548,95.096,8.109999999999872,43690666.666666664,43690666.666666664
4,2,clustered,0,1.4,0.005,1,500.0,True,47728,95.456,7.619999999999882,43690666.666666664,43690666.666666664
4,2,clustered,0,1.6,0.005,1,500.0,True,47873,95.746,7.2199999999998905,43690666.666666664,43690666.666666664
4,2,clustered,0,1.8,0.005,1,500.0,True,47995,95.99,6.8899999999998975,43690666.666666664,43690666.666666664
4,2,clustered,0,2.0,0.005,1,500.0,True,48097,96.194,6.599999999999904,43690666.666666664,43690666.666666664
4,2,clustered,0,2.2,0.005,1,500.0,True,48185,96.37,6.349999999999909,43690666.666666664,43690666.666666664
4,2,clustered,0,2.4,0.005,1,500.0,True,48262,96.524,6.1399999999999135,43690666.666666664,43690666.666666664
4,2,clustered,0,2.6,0.005,1,500.0,True,48331,96.662,5.939999999999918,43690666.666666664,43690666.666666664
4,2,clustered,1,0.6,0.001,1,100.0,True,6527,65.27,10.669999999999817,34.390787760416664,34.390787760416664
4,2,clustered,1,0.8,0.001,1,100.0,True,6994,69.94,9.509999999999842,61.098531087239586,61.098531087239586
4,2,clustered,1,1.0,0.001,1,100.0,True,7313,73.13,8.699999999999859,95.57490234375,95.57490234375
4,2,clustered,1,1.2,0.001,1,100.0,True,7549,75.49,8.079999999999872,137.56315104166666,137.56315104166666
4,2,clustered,1,1.4,0.001,1,100.0,True,7731,77.31,7.599999999999882,187.204541015625,187.204541015625
4,2,clustered,1,1.6,0.001,1,100.0,True,7878,78.78,7.199999999999891,244.39412434895834,244.39412434895834
4,2,clustered,1,1.8,0.001,1,100.0,True,8000,80.0,6.869999999999898,309.44850260416666,309.44850260416666
4,2,clustered,1,2.0,0.001,1,100.0,True,8103,81.03,6.589999999999904,382.299609375,382.299609375
4,2,clustered,1,2.2,0.001,1,100.0,True,8192,81.92,6.339999999999909,462.4916666666667,462.4916666666667
4,2,clustered,1,2.4,0.001,1,100.0,True,8269,82.69,6.119999999999914,550.2526041666666,550.2526041666666
4,2,clustered,1,2.6,0.001,1,100.0,True,8337,83.37,5.929999999999918,646.4070963541667,646.4070963541667
4,2,clustered,1,0.6,0.005,1,100.0,True,6558,65.58,10.699999999999816,66.75119222005208,66.75119222005208
4,2,clustered,1,0.8,0.005,1,100.0,True,7007,70.07,9.539999999999841,118.678369140625,118.678369140625
4,2,clustered,1,1.0,0.005,1,100.0,True,7317,73.17,8.719999999999859,185.1390625,185.1390625
4,2,clustered,1,1.2,0.005,1,100.0,True,7548,75.48,8.109999999999872,267.0047688802083,267.0047688802083
4,2,clustered,1,1.4,0.005,1,100.0,True,7728,77.28,7.619999999999882,363.5445963541667,363.5445963541667
4,2,clustered,1,1.6,0.005,1,100.0,True,7873,78.73,7.2199999999998905,474.7134765625,474.7134765625
4,2,clustered,1,1.8,0.005,1,100.0,True,7995,79.95,6.8899999999998975,600.016796875,600.016796875
4,2,clustered,1,2.0,0.005,1,100.0,True,8097,80.97,6.599999999999904,740.55625,740.55625
4,2,clustered,1,2.2,0.005,1,100.0,True,8185,81.85,6.349999999999909,896.5224609375,896.5224609375
4,2,clustered,1,2.4,0.005,1,100.0,True,8262,82.62,6.1399999999999135,1068.0190755208332,1068.0190755208332
4,2,clustered,1,2.6,0.005,1,100.0,True,8331,83.31,5.939999999999918,1257.4220052083333,1257.4220052083333
