tick,peak,mass
124,0.050614671832374135,1.0
125,0.05041221314462038,1.0
126,0.050212164679268555,1.0
127,0.050014478990985406,1.0
128,0.04981910993176975,1.0000000000000002
129,0.04962601260569653,1.0
130,0.049435143325575664,0.9999999999999999
131,0.04924645957143048,1.0
132,0.04905991995070604,1.0000000000000002
133,0.04887548416012338,1.0
134,0.048693112949098984,1.0
135,0.04851276808465489,1.0
136,0.04833441231774762,1.0
137,0.048158009350949084,0.9999999999999999
138,0.047983523807415385,0.9999999999999999
139,0.04781092120108355,1.0
140,0.047640167908039044,0.9999999999999998
141,0.04747123113900019,1.0
142,0.047304078912868246,1.0
143,0.047138680031294955,1.0
144,0.046975004054221225,0.9999999999999999
145,0.0468130212763438,1.0000000000000002
146,0.04665270270446837,0.9999999999999999
147,0.046494020035710126,0.9999999999999999
148,0.04633694563650425,0.9999999999999999
149,0.04618145252239126,1.0
150,0.0460275143385436,0.9999999999999999
151,0.045875105341001456,1.0000000000000002
152,0.045724200378587446,1.0
153,0.04557477487547163,0.9999999999999999
154,0.045426804814359095,1.0000000000000002
155,0.0452802667202739,1.0000000000000002
156,0.04513513764491512,0.9999999999999999
157,0.0449913951515606,1.0
158,0.044849017300496334,1.0000000000000002
159,0.04470798263494984,1.0000000000000002
160,0.044568270167507064,0.9999999999999999
161,0.0444298593669933,1.0
162,0.04429273014579945,1.0000000000000002
163,0.044156862847636,0.9999999999999999
164,0.04402223823569766,1.0000000000000002
165,0.04388883748122242,0.9999999999999998
166,0.04375664215242986,1.0
167,0.0436256342038235,1.0
168,0.04349579596584365,1.0
169,0.043367110134856716,0.9999999999999998
170,0.04323955976346867,1.0
171,0.04311312825114978,0.9999999999999999
172,0.04298779933515935,1.0000000000000002
173,0.04286355708175885,1.0
174,0.04274038587770288,1.0
175,0.042618270421997465,0.9999999999999999
176,0.04249719571791598,0.9999999999999998
177,0.0423771470652631,0.9999999999999998
178,0.04225811005287786,1.0
179,0.04214007055136701,0.9999999999999999
180,0.04202301470606041,1.0
181,0.041906928930180526,1.0
182,0.04179179989821831,1.0
183,0.04167761453950819,1.0000000000000002
184,0.041564360031995026,1.0000000000000002
185,0.04145202379618658,0.9999999999999999
186,0.041340593489284566,1.0
187,0.041230056999488486,0.9999999999999999
188,0.04112040244046605,0.9999999999999999
189,0.041011618145984544,1.0
190,0.04090369266469753,1.0
191,0.04079661475508183,1.0000000000000002
192,0.040690373380519326,1.0
193,0.04058495770451916,1.0000000000000002
194,0.0404803570860752,0.9999999999999998
195,0.04037656107515461,1.0000000000000002
196,0.0402735594083128,0.9999999999999999
197,0.04017134200443113,0.9999999999999999
198,0.04006989896057269,0.9999999999999999
199,0.03996922054795287,0.9999999999999999
200,0.039869297208020585,1.0
