run_id,num_sources,geometry,phase_offset,T,gamma,alpha_0,dimension,final_psi,max_salience,first_commit_time,agent_commit_count,commit_rate
30,2,symmetric,0,500.0,0.003,1.8,3,2.0496572940907583,23.42251392121011,9.62999999999984,45086,90.172
31,2,symmetric,0,500.0,0.003,2.4,3,3.650255568484043,41.58309352144283,8.569999999999862,47290,94.58
32,2,symmetric,0,500.0,0.005,0.8,3,23530212.76595745,23530212.76595745,13.31999999999976,45538,91.076
33,2,symmetric,0,500.0,0.005,1.2,3,23530212.76595745,23530212.76595745,11.319999999999803,46318,92.636
34,2,symmetric,0,500.0,0.005,1.8,3,23530212.76595745,23530212.76595745,9.61999999999984,46975,93.95
35,2,symmetric,0,500.0,0.005,2.4,3,23530212.76595745,23530212.76595745,8.569999999999862,47373,94.746
36,2,symmetric,0,1000.0,0.001,0.8,3,84263.18085106384,84263.18085106384,13.279999999999761,95431,95.431
37,2,symmetric,0,1000.0,0.001,1.2,3,195099.95744680855,195099.95744680855,11.279999999999804,96275,96.275
38,2,symmetric,0,1000.0,0.001,1.8,3,422647.9574468086,422647.9574468086,9.58999999999984,96962,96.962
39,2,symmetric,0,1000.0,0.001,2.4,3,780399.8297872342,780399.8297872342,8.549999999999862,97370,97.37
40,2,symmetric,0,1000.0,0.003,0.8,3,0.9061811731216757,4.637421303607049,13.34999999999976,75864,75.864
41,2,symmetric,0,1000.0,0.003,1.2,3,1.9824155442258147,10.395773380360707,11.329999999999803,90032,90.032
42,2,symmetric,0,1000.0,0.003,1.8,3,4.422596058946976,23.42251392121011,9.62999999999984,95086,95.086
43,2,symmetric,0,1000.0,0.003,2.4,3,7.929662176903259,41.58309352144283,8.569999999999862,97290,97.29
44,2,symmetric,0,1000.0,0.005,0.8,3,23530212.76595745,23530212.76595745,13.31999999999976,95538,95.538
45,2,symmetric,0,1000.0,0.005,1.2,3,23530212.76595745,23530212.76595745,11.319999999999803,96318,96.318
46,2,symmetric,0,1000.0,0.005,1.8,3,23530212.76595745,23530212.76595745,9.61999999999984,96975,96.975
47,2,symmetric,0,1000.0,0.005,2.4,3,23530212.76595745,23530212.76595745,8.569999999999862,97373,97.373
48,2,symmetric,0,2000.0,0.001,0.8,3,1006469.6170212767,1006469.6170212767,13.279999999999761,195431,97.7155
49,2,symmetric,0,2000.0,0.001,1.2,3,2489406.9787234045,2489406.9787234045,11.279999999999804,196275,98.1375
50,2,symmetric,0,2000.0,0.001,1.8,3,5484192.000000001,5484192.000000001,9.58999999999984,196962,98.481
51,2,symmetric,0,2000.0,0.001,2.4,3,9957627.914893618,9957627.914893618,8.549999999999862,197370,98.685
52,2,symmetric,0,2000.0,0.003,0.8,3,1.3911064634931851,4.637421303607049,13.34999999999976,173494,86.747
53,2,symmetric,0,2000.0,0.003,1.2,3,3.0240588898354392,10.395773380360707,11.329999999999803,190032,95.016
54,2,symmetric,0,2000.0,0.003,1.8,3,7.127657626537568,23.42251392121011,9.62999999999984,195086,97.543
55,2,symmetric,0,2000.0,0.003,2.4,3,12.096235559341757,41.58309352144283,8.569999999999862,197290,98.645
56,2,symmetric,0,2000.0,0.005,0.8,3,23530212.76595745,23530212.76595745,13.31999999999976,195538,97.769
57,2,symmetric,0,2000.0,0.005,1.2,3,23530212.76595745,23530212.76595745,11.319999999999803,196318,98.159
58,2,symmetric,0,2000.0,0.005,1.8,3,23530212.76595745,23530212.76595745,9.61999999999984,196975,98.4875
59,2,symmetric,0,2000.0,0.005,2.4,3,23530212.76595745,23530212.76595745,8.569999999999862,197373,98.6865
