tick,r_mean,r_rms,r_std,KE,PE,E_total,L,collisions_total,collisions_tick,fragment_ke_mean,fragment_ke_std
10400,1.9508889422764182,2.0963526681911007,0.767285373466447,2.245792632889602e-05,-0.000994213052824799,-0.0009717551264959031,-0.0036963972023943683,874648,,2.2457926328896025e-07,1.9763579049223217e-07
10600,1.9357503952023094,2.074183052221931,0.7450541870218501,1.782078704164245e-05,-0.00099351612990511,-0.0009756953428634675,-0.0031767450072252798,888738,,1.7820787041642449e-07,1.9746159820262486e-07
10800,1.950507888484655,2.0926908241554067,0.7582043672146517,2.0851143071317967e-05,-0.0009988426104981078,-0.0009779914674267899,-0.0037496691575453645,902380,,2.085114307131797e-07,1.8393553323402227e-07
11000,1.9355318349119144,2.0711265021422194,0.7370763216373054,2.3436464232239866e-05,-0.0009935161301000135,-0.0009700796658677737,-0.003903125469141826,915524,,2.3436464232239865e-07,2.4198791624514824e-07
11200,1.9656447559247348,2.1050072755626976,0.7531907618110304,2.508543954981979e-05,-0.0009942130531220025,-0.0009691276135721827,-0.003971408432998527,928274,,2.508543954981979e-07,2.8893647716272416e-07
11400,2.005734126883396,2.149816150452209,0.773782975388095,2.7587049597583383e-05,-0.000996527832654565,-0.0009689407830569816,-0.00423100866725652,941022,,2.758704959758338e-07,2.939681084897026e-07
11600,1.9863034986307,2.131553180953201,0.7733804849872737,3.4701966379248697e-05,-0.0009942130528436076,-0.0009595110864643589,-0.004880460174333905,952478,,3.47019663792487e-07,2.774596536949724e-07
11800,1.9794359035058475,2.1181901494386723,0.7540311751453077,3.2008708149219164e-05,-0.0009900439626689237,-0.0009580352545197045,-0.004624317356941181,963814,,3.200870814921916e-07,2.7718029189503525e-07
12000,1.9859132904086436,2.1276456110976287,0.7635602460849539,3.4648689395550857e-05,-0.0009953704425026062,-0.0009607217531070553,-0.004691014635622132,975342,,3.4648689395550857e-07,4.0275888257638306e-07
12200,1.9710947691955716,2.118789029661114,0.7772080564830385,3.157815067854364e-05,-0.0009965278320766598,-0.0009649496813981162,-0.004736153172864126,986750,,3.157815067854364e-07,2.7734431924937345e-07
12400,2.0036803202727156,2.146315519232041,0.769373434846911,2.7350883318571137e-05,-0.0009930556640657838,-0.0009657047807472126,-0.004583892103648398,997306,,2.7350883318571136e-07,1.9956391976549488e-07
12600,1.9823960862538967,2.122974424205909,0.759688201196809,3.3542010258297526e-05,-0.000991898274719103,-0.0009583562644608056,-0.004617885252499787,1008702,,3.354201025829752e-07,3.2850658867014344e-07
12800,1.9511295512895668,2.0882284194390004,0.7441716239129778,3.540226050614919e-05,-0.0009930556635902538,-0.0009576534030841045,-0.004961521019430538,1020190,,3.540226050614919e-07,2.60090031228077e-07
13000,1.9832107987307332,2.126252051137161,0.7666959715316047,3.3673361679592506e-05,-0.0009965278322885977,-0.0009628544706090052,-0.004940130266975854,1032092,,3.367336167959251e-07,2.888777019392914e-07
13200,1.9707052892076233,2.1106712888901593,0.7558134378498065,2.8890039967887404e-05,-0.0009953704422443832,-0.0009664804022764958,-0.004491840873441907,1043422,,2.8890039967887405e-07,2.5431953785680393e-07
13400,2.0352464458375588,2.1824132353305816,0.7878448035315595,2.836490409992163e-05,-0.0009953704430961997,-0.000967005538996278,-0.004457614146861938,1055494,,2.836490409992163e-07,2.3740961329127828e-07
13600,1.9549884957800787,2.0924697383275377,0.7459554860607023,3.057514997975291e-05,-0.000993055664114046,-0.000962480514134293,-0.004235454560578043,1066752,,3.0575149979752904e-07,2.782543925899514e-07
