[PiDrift t=151] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=152] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=153] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=154] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=155] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=156] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=157] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=158] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=159] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=160] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=161] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=162] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=163] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=164] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=165] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=166] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=167] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=168] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=169] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=170] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=171] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=172] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=173] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=174] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=175] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=176] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=177] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=178] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=179] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=180] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=181] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=182] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=183] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=184] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=185] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
