tick,alpha,G,h,Lambda,alpha_drift,G_drift,h_drift,Lambda_drift
1110,0.9895573683437855,0.9895494623493293,71,0.0,0.002831834163137431,0.001415200040590711,445.7432643454265,3.2639518491348824e-05
1120,0.9928348108865184,0.9928281305560703,71,0.0,0.002832347535255674,0.0014117831359951234,471.44748007015306,3.236099552761787e-05
1130,0.9933146647007498,0.9933107474951345,73,0.0,0.002831996647713038,0.0014080183652518577,493.8460521575691,3.2216371749710955e-05
1140,0.992642942130919,0.9926372928336317,71,0.0,0.0028314569007806176,0.0014043295075375562,518.4075992613111,3.194624878550067e-05
1150,0.9912651133215326,0.9912556281036006,72,0.0,0.0028308274351964563,0.0014007345065528416,541.8480574669187,3.16806085112041e-05
1160,0.9938398181512819,0.9938364158942964,74,0.0,0.002830009922695533,0.0013971687368278334,562.263614001189,3.154198945619096e-05
1170,0.9938112421169378,0.9938086494366886,74,0.0,0.002827640757134921,0.0013928400526237055,584.8980816714151,3.128416403581004e-05
1180,0.9798460545702795,0.9922417890126264,0,0.012658227848101266,0.002825734005198174,0.0013894684054198483,600.2220224073542,3.137194848195693e-05
1190,0.9823989333331438,0.9948292458536003,0,0.0,0.0028150158767253704,0.0013860792815336479,597.4202415083681,3.112013614188421e-05
1200,0.9820404827185492,0.9943122360791362,0,0.0,0.002804171401834901,0.001382479140355518,594.6281,3.097802866265458e-05
1210,0.9793072436584169,0.991539274276092,0,0.0,0.0027938870633897194,0.0013792555104838575,591.8462700635204,3.0733452290463774e-05
1220,0.9810627180262239,0.9933226704384259,0,0.0,0.0027830259113334694,0.0013755170338248547,589.075372211771,3.0492699356835144e-05
1230,0.9832389425435119,0.9953745327213362,0,0.0,0.0027720575311250936,0.0013716272491347344,586.3159785841762,3.035635735119319e-05
1240,0.9595169849238565,0.9950520247635507,0,0.0,0.002754646941458867,0.0013679992369982387,583.568616024974,3.0313883194906504e-05
1250,0.9578005734699703,0.9928359212104085,0,0.0,0.0027342754331806797,0.0013640500349412163,580.83376896,3.0173415412465786e-05
1260,0.9509140480917048,0.997297941667329,0,0.0,0.0027130383819391037,0.0013605635994956371,578.1118820861678,3.0032807031779386e-05
1270,0.9486110831550435,0.994881487030692,0,0.0,0.002691839703445768,0.001356962166415912,575.4033628867259,2.9807077278126814e-05
1280,0.948416069501139,0.9941192017972776,0,0.0,0.002670995469263648,0.0013533619742988085,572.708583984375,2.966927777459902e-05
1290,0.950717135686761,0.9959867541728235,0,0.0,0.0026505329767638956,0.0013496300207333474,570.0278853434289,2.9531460199642956e-05
1300,0.952097467640126,0.997433012166819,0,0.0,0.002630494796754771,0.001346522746688094,567.3615763313609,2.9314631169918015e-05
1310,0.9509950870256635,0.9962780861749934,0,0.0,0.0026107555028142553,0.0013433768941620513,564.7099376493212,2.910095590938584e-05
1320,0.9482623483049469,0.993413543003396,0,0.0,0.0025912323392123958,0.0013397234464467675,562.0732231404959,2.8890366273549498e-05
1330,0.9511161642310628,0.9953512991047799,0,0.0,0.002571978694897225,0.0013355753232880874,559.4516614845385,2.883616471495369e-05
1340,0.949846385703916,0.9940199313643721,0,0.0,0.0025531528368567718,0.0013320212209603172,556.8454577856983,2.8630691307858918e-05
1350,0.960973749870305,0.9937310246606356,0,0.0,0.0025352452292891387,0.0013278900036306615,554.2547950617285,2.8500921607467304e-05
1360,0.9635209735753482,0.9963648380700595,0,0.0,0.002519334983957685,0.0013247391481229517,551.6798356401384,2.830079030364419e-05
1370,0.9629824664428722,0.9958095938246646,0,0.0,0.0025033985039113514,0.0013211814985566788,549.1207224678992,2.810344390304833e-05
1380,0.9646892781379488,0.9972047003539138,0,0.0,0.0024884577635479604,0.001317680404828116,546.5775803402647,2.7978554511287387e-05
1390,0.9655049461584332,0.9973324358694963,0,0.0,0.0024732284227565546,0.00131429744813859,544.0505170539827,2.7919569557114655e-05
1400,0.9640890871739913,0.995869289146993,0,0.0,0.00245841662162871,0.001311077353670728,541.539624489796,2.7729162101248435e-05
1410,0.9654333298993671,0.9969124508890058,0,0.0,0.0024436510686395123,0.0013075417318854615,539.0449796287912,2.7604761609596612e-05
1420,0.9630750350883795,0.9940318337770996,0,0.010526315789473684,0.0024292676945121437,0.0013042217849599073,536.5666455068439,2.7480620331463264e-05
1430,0.9655245022426047,0.9963376111304557,0,0.0,0.002415190852862338,0.0013008579259694883,534.1046721111056,2.7356780492289038e-05
1440,0.965089423488999,0.9958879516984765,0,0.0,0.002401291855729226,0.0012974629153819028,531.6590972222223,2.717542565698746e-05
1450,0.966626774612489,0.997475687875054,0,0.0,0.002387662685886969,0.0012942092924421356,529.2299472057074,2.6996454152664227e-05
1460,0.9659337257795334,0.9964344447193398,0,0.0,0.00237420169292112,0.0012908216660413529,526.8172377556765,2.687709786698195e-05
1470,0.9663443242003191,0.9968592782156047,0,0.0,0.0023609429605055176,0.0012874946086302466,524.4209745939193,2.670246972979182e-05
1480,0.9669982195168869,0.9975338878657118,0,0.0,0.0023478914484135684,0.0012842337817998016,522.0411541271002,2.653009124587088e-05
1490,0.9677807964040764,0.9980231830968102,0,0.0,0.002335046186468787,0.0012809547657614885,519.6777640646818,2.6414960106192535e-05
