[Constants t=1270] α=0.9486 (drift=0.002692), G=0.9949 (drift=0.001357), h=0, Λ=0.0000 (drift=0.000030)
[Constants t=1280] α=0.9484 (drift=0.002671), G=0.9941 (drift=0.001353), h=0, Λ=0.0000 (drift=0.000030)
[Constants t=1290] α=0.9507 (drift=0.002651), G=0.9960 (drift=0.001350), h=0, Λ=0.0000 (drift=0.000030)
[Constants t=1300] α=0.9521 (drift=0.002630), G=0.9974 (drift=0.001347), h=0, Λ=0.0000 (drift=0.000029)
[Constants t=1310] α=0.9510 (drift=0.002611), G=0.9963 (drift=0.001343), h=0, Λ=0.0000 (drift=0.000029)
[Constants t=1320] α=0.9483 (drift=0.002591), G=0.9934 (drift=0.001340), h=0, Λ=0.0000 (drift=0.000029)
[Constants t=1330] α=0.9511 (drift=0.002572), G=0.9954 (drift=0.001336), h=0, Λ=0.0000 (drift=0.000029)
[Constants t=1340] α=0.9498 (drift=0.002553), G=0.9940 (drift=0.001332), h=0, Λ=0.0000 (drift=0.000029)
[Constants t=1350] α=0.9610 (drift=0.002535), G=0.9937 (drift=0.001328), h=0, Λ=0.0000 (drift=0.000029)
[Constants t=1360] α=0.9635 (drift=0.002519), G=0.9964 (drift=0.001325), h=0, Λ=0.0000 (drift=0.000028)
[Constants t=1370] α=0.9630 (drift=0.002503), G=0.9958 (drift=0.001321), h=0, Λ=0.0000 (drift=0.000028)
[Constants t=1380] α=0.9647 (drift=0.002488), G=0.9972 (drift=0.001318), h=0, Λ=0.0000 (drift=0.000028)
[Constants t=1390] α=0.9655 (drift=0.002473), G=0.9973 (drift=0.001314), h=0, Λ=0.0000 (drift=0.000028)
[Constants t=1400] α=0.9641 (drift=0.002458), G=0.9959 (drift=0.001311), h=0, Λ=0.0000 (drift=0.000028)
[Constants t=1410] α=0.9654 (drift=0.002444), G=0.9969 (drift=0.001308), h=0, Λ=0.0000 (drift=0.000028)
[Constants t=1420] α=0.9631 (drift=0.002429), G=0.9940 (drift=0.001304), h=0, Λ=0.0105 (drift=0.000027)
[Constants t=1430] α=0.9655 (drift=0.002415), G=0.9963 (drift=0.001301), h=0, Λ=0.0000 (drift=0.000027)
[Constants t=1440] α=0.9651 (drift=0.002401), G=0.9959 (drift=0.001297), h=0, Λ=0.0000 (drift=0.000027)
[Constants t=1450] α=0.9666 (drift=0.002388), G=0.9975 (drift=0.001294), h=0, Λ=0.0000 (drift=0.000027)
[Constants t=1460] α=0.9659 (drift=0.002374), G=0.9964 (drift=0.001291), h=0, Λ=0.0000 (drift=0.000027)
[Constants t=1470] α=0.9663 (drift=0.002361), G=0.9969 (drift=0.001287), h=0, Λ=0.0000 (drift=0.000027)
[Constants t=1480] α=0.9670 (drift=0.002348), G=0.9975 (drift=0.001284), h=0, Λ=0.0000 (drift=0.000027)
[Constants t=1490] α=0.9678 (drift=0.002335), G=0.9980 (drift=0.001281), h=0, Λ=0.0000 (drift=0.000026)
[Constants t=1500] α=0.9661 (drift=0.002322), G=0.9963 (drift=0.001278), h=0, Λ=0.0000 (drift=0.000026)
[Constants t=1510] α=0.9473 (drift=0.002308), G=0.9961 (drift=0.001274), h=0, Λ=0.0000 (drift=0.000026)
[Constants t=1520] α=0.9479 (drift=0.002293), G=0.9968 (drift=0.001271), h=0, Λ=0.0000 (drift=0.000026)
[Constants t=1530] α=0.9485 (drift=0.002278), G=0.9974 (drift=0.001268), h=0, Λ=0.0000 (drift=0.000026)
[Constants t=1540] α=0.9571 (drift=0.002264), G=0.9954 (drift=0.001264), h=0, Λ=0.0000 (drift=0.000026)
[Constants t=1550] α=0.9596 (drift=0.002250), G=0.9980 (drift=0.001261), h=0, Λ=0.0000 (drift=0.000026)
[Constants t=1560] α=0.9602 (drift=0.002237), G=0.9986 (drift=0.001257), h=0, Λ=0.0000 (drift=0.000026)
[Constants t=1570] α=0.9594 (drift=0.002224), G=0.9978 (drift=0.001254), h=0, Λ=0.0000 (drift=0.000025)
[Constants t=1580] α=0.9698 (drift=0.002211), G=0.9986 (drift=0.001251), h=0, Λ=0.0000 (drift=0.000025)
[Constants t=1590] α=0.9700 (drift=0.002200), G=0.9988 (drift=0.001247), h=0, Λ=0.0000 (drift=0.000025)
